epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,590.426,0.8661,0.73118,1.11791,0.51408,0.3356,0.34866,0.17032,2.14962,2.2991,2.24541,0.00156963,0.00156963,0.00156963
61,599.109,0.91332,0.76339,1.15994,0.50945,0.37266,0.34814,0.16595,2.15503,2.22187,2.21957,0.00156798,0.00156798,0.00156798
62,609.446,0.91027,0.77931,1.17491,0.44105,0.32906,0.3314,0.16523,2.13036,2.24096,2.15218,0.00156633,0.00156633,0.00156633
63,619.677,0.87244,0.72022,1.12355,0.42466,0.32583,0.3148,0.14684,2.20418,2.56182,2.22483,0.00156468,0.00156468,0.00156468
64,628.337,0.8899,0.72861,1.1364,0.53871,0.31032,0.32653,0.15396,2.15451,2.46195,2.1828,0.00156303,0.00156303,0.00156303
65,638.268,0.86596,0.69962,1.12995,0.4428,0.35804,0.3307,0.1508,2.12333,2.41783,2.20803,0.00156138,0.00156138,0.00156138
66,648.339,0.9049,0.77812,1.16756,0.34849,0.31609,0.24969,0.11421,2.30386,2.82097,2.49141,0.00155973,0.00155973,0.00155973
67,657.07,0.89559,0.73126,1.13729,0.45081,0.3735,0.33714,0.1702,2.22467,2.45909,2.32251,0.00155808,0.00155808,0.00155808
68,667.024,0.91286,0.73732,1.14211,0.4635,0.36623,0.33433,0.16443,2.24406,2.26957,2.40198,0.00155643,0.00155643,0.00155643
69,676.998,0.88883,0.71599,1.14508,0.38786,0.38762,0.32849,0.15897,2.16101,2.40115,2.28851,0.00155478,0.00155478,0.00155478
70,685.706,0.86985,0.69066,1.12636,0.49278,0.33451,0.31344,0.1502,2.26347,2.57759,2.39976,0.00155313,0.00155313,0.00155313
71,695.608,0.90862,0.74052,1.14765,0.49363,0.32826,0.3156,0.14227,2.2246,2.58908,2.38572,0.00155148,0.00155148,0.00155148
72,705.7,0.91862,0.74193,1.16423,0.47659,0.34087,0.33327,0.15737,2.20292,2.28737,2.31581,0.00154983,0.00154983,0.00154983
73,714.552,0.86905,0.67704,1.12412,0.39341,0.3301,0.29509,0.14103,2.21963,2.50075,2.34751,0.00154818,0.00154818,0.00154818
74,724.425,0.8983,0.75583,1.15444,0.52527,0.32831,0.34721,0.17008,2.12733,2.27766,2.20787,0.00154653,0.00154653,0.00154653
75,734.498,0.89873,0.74106,1.15421,0.52321,0.37828,0.36118,0.18458,2.09502,2.29344,2.19411,0.00154488,0.00154488,0.00154488
76,744.002,0.91368,0.75509,1.15443,0.39605,0.33347,0.31235,0.15899,2.12183,2.5257,2.18003,0.00154323,0.00154323,0.00154323
77,753.213,0.87064,0.70957,1.12667,0.42703,0.31635,0.30835,0.13841,2.1921,2.62723,2.31044,0.00154157,0.00154157,0.00154157
78,763.182,0.883,0.71278,1.15206,0.41141,0.34427,0.31834,0.15382,2.21236,2.59349,2.34552,0.00153992,0.00153992,0.00153992
79,772.153,0.87058,0.69158,1.11217,0.53786,0.36423,0.36349,0.18711,2.09531,2.32071,2.17682,0.00153827,0.00153827,0.00153827
80,781.715,0.89166,0.71339,1.13495,0.52584,0.32877,0.33372,0.17124,2.21498,2.53429,2.35044,0.00153662,0.00153662,0.00153662
81,791.819,0.84183,0.67187,1.11974,0.52525,0.34438,0.37245,0.18735,2.11745,2.22336,2.22953,0.00153497,0.00153497,0.00153497
82,801.736,0.89044,0.68974,1.14287,0.43243,0.37329,0.32328,0.15435,2.19533,2.50022,2.33837,0.00153332,0.00153332,0.00153332
83,812.155,0.87797,0.69813,1.1217,0.50446,0.34425,0.35573,0.16179,2.21173,2.43521,2.39502,0.00153167,0.00153167,0.00153167
84,822.284,0.86234,0.68447,1.11562,0.4472,0.35941,0.32753,0.15199,2.23736,2.50417,2.34789,0.00153002,0.00153002,0.00153002
85,831.389,0.85612,0.6777,1.11839,0.4536,0.34438,0.34151,0.17838,2.16409,2.39933,2.31887,0.00152837,0.00152837,0.00152837
86,840.939,0.83464,0.65727,1.1058,0.42751,0.33686,0.29816,0.14535,2.246,2.62738,2.42865,0.00152672,0.00152672,0.00152672
87,851.765,0.80842,0.63925,1.11363,0.46494,0.41844,0.37776,0.19829,2.09394,2.27866,2.20512,0.00152507,0.00152507,0.00152507
88,861.496,0.85456,0.68999,1.1157,0.48259,0.32058,0.328,0.17195,2.18819,2.40888,2.28321,0.00152342,0.00152342,0.00152342
89,871.106,0.83782,0.65075,1.12679,0.45634,0.34661,0.34069,0.16968,2.18241,2.39279,2.2598,0.00152177,0.00152177,0.00152177
90,881.13,0.82616,0.65434,1.10358,0.52943,0.3888,0.36462,0.18792,2.15454,2.27927,2.23544,0.00152012,0.00152012,0.00152012
91,891.195,0.85674,0.67783,1.12982,0.48315,0.35987,0.3455,0.17467,2.24154,2.52442,2.36186,0.00151847,0.00151847,0.00151847
92,900.245,0.84518,0.66131,1.10054,0.48042,0.38032,0.35135,0.16878,2.19107,2.42459,2.33063,0.00151682,0.00151682,0.00151682
93,910.376,0.85644,0.65951,1.13607,0.46573,0.36045,0.35604,0.1796,2.197,2.40894,2.35506,0.00151517,0.00151517,0.00151517
94,920.472,0.81377,0.65858,1.1149,0.48824,0.37784,0.34926,0.16415,2.1923,2.29952,2.26619,0.00151352,0.00151352,0.00151352
95,929.026,0.84277,0.66051,1.10509,0.49333,0.39279,0.37995,0.19295,2.15425,2.27682,2.23997,0.00151187,0.00151187,0.00151187
96,938.969,0.84337,0.6508,1.10197,0.46575,0.34808,0.33232,0.16957,2.18801,2.34313,2.28073,0.00151022,0.00151022,0.00151022
97,949.133,0.82329,0.62274,1.09872,0.46288,0.33655,0.31768,0.15018,2.24306,2.4988,2.40203,0.00150857,0.00150857,0.00150857
98,957.672,0.82062,0.61264,1.0887,0.47954,0.32718,0.31391,0.15709,2.21703,2.64593,2.38697,0.00150692,0.00150692,0.00150692
99,967.787,0.80898,0.61548,1.10022,0.49476,0.34649,0.3596,0.16599,2.23821,2.32724,2.3451,0.00150527,0.00150527,0.00150527
100,977.962,0.82218,0.65391,1.09625,0.39063,0.36885,0.31404,0.14787,2.24453,2.46315,2.33682,0.00150362,0.00150362,0.00150362
101,986.481,0.79663,0.62037,1.07841,0.48928,0.32724,0.32211,0.14522,2.21726,2.46783,2.42397,0.00150197,0.00150197,0.00150197
102,996.641,0.799,0.62721,1.08874,0.48775,0.35643,0.34949,0.15612,2.25523,2.32533,2.48459,0.00150032,0.00150032,0.00150032
103,1006.82,0.82603,0.62801,1.09055,0.4645,0.32985,0.31727,0.14162,2.19178,2.32914,2.30288,0.00149867,0.00149867,0.00149867
104,1015.76,0.819,0.62404,1.08523,0.53655,0.33616,0.3574,0.17882,2.12475,2.29218,2.22743,0.00149702,0.00149702,0.00149702
105,1025.27,0.79064,0.5831,1.08138,0.44734,0.38765,0.34678,0.16666,2.2161,2.38899,2.34157,0.00149537,0.00149537,0.00149537
106,1035.32,0.7738,0.58922,1.05962,0.49984,0.32145,0.33709,0.15765,2.17897,2.35791,2.25572,0.00149372,0.00149372,0.00149372
107,1044.77,0.78585,0.60522,1.07186,0.42221,0.37118,0.34176,0.16831,2.1477,2.34157,2.29151,0.00149207,0.00149207,0.00149207
108,1054.1,0.77219,0.58013,1.07138,0.45217,0.32845,0.30513,0.14917,2.21166,2.54984,2.44868,0.00149041,0.00149041,0.00149041
109,1064,0.74717,0.56109,1.05061,0.42377,0.38558,0.33279,0.17248,2.17586,2.52719,2.40286,0.00148876,0.00148876,0.00148876
110,1073.36,0.75455,0.59291,1.05779,0.38508,0.37771,0.30254,0.14006,2.20687,2.58908,2.38617,0.00148711,0.00148711,0.00148711
111,1082.61,0.72947,0.55885,1.05308,0.53869,0.35406,0.36532,0.18084,2.13361,2.40519,2.30375,0.00148546,0.00148546,0.00148546
112,1092.58,0.76228,0.57849,1.05072,0.48494,0.3345,0.35339,0.18026,2.17207,2.31566,2.29888,0.00148381,0.00148381,0.00148381
113,1104.21,0.78335,0.60083,1.06901,0.44857,0.31226,0.33795,0.16282,2.23345,2.39495,2.32324,0.00148216,0.00148216,0.00148216
114,1113.1,0.78474,0.58723,1.06977,0.39505,0.34158,0.29853,0.14244,2.29957,2.63121,2.56962,0.00148051,0.00148051,0.00148051
115,1123.3,0.7603,0.58533,1.05817,0.47612,0.32056,0.3044,0.15384,2.26654,2.52307,2.47524,0.00147886,0.00147886,0.00147886
116,1133.23,0.74504,0.57613,1.06352,0.41591,0.35559,0.31816,0.15683,2.29425,2.51155,2.4476,0.00147721,0.00147721,0.00147721
117,1142.03,0.72814,0.52685,1.04671,0.53939,0.32284,0.35308,0.16442,2.24878,2.40954,2.36858,0.00147556,0.00147556,0.00147556
118,1152.25,0.77249,0.58703,1.08867,0.43221,0.3022,0.29287,0.13294,2.28788,2.71518,2.43339,0.00147391,0.00147391,0.00147391
119,1162.46,0.76475,0.58429,1.06223,0.49253,0.3598,0.35972,0.17726,2.2098,2.41509,2.42444,0.00147226,0.00147226,0.00147226
120,1171.24,0.76445,0.59561,1.0784,0.49391,0.3066,0.29987,0.13823,2.3529,2.66009,2.55416,0.00147061,0.00147061,0.00147061
121,1181.39,0.78213,0.61319,1.07127,0.43944,0.36291,0.30734,0.14624,2.26973,2.53724,2.43083,0.00146896,0.00146896,0.00146896
122,1191.55,0.74819,0.57384,1.04988,0.4787,0.34876,0.33719,0.16049,2.24772,2.47681,2.40246,0.00146731,0.00146731,0.00146731
123,1200.98,0.73753,0.5531,1.05961,0.44846,0.3858,0.35815,0.16973,2.22459,2.504,2.43955,0.00146566,0.00146566,0.00146566
124,1210.61,0.77208,0.57087,1.0736,0.45268,0.34396,0.32724,0.15536,2.221,2.40932,2.36057,0.00146401,0.00146401,0.00146401
125,1220.77,0.73826,0.57783,1.05634,0.53625,0.31787,0.35617,0.17603,2.19324,2.44632,2.37279,0.00146236,0.00146236,0.00146236
126,1230.35,0.72353,0.54025,1.0489,0.47391,0.33653,0.34,0.16908,2.18589,2.44649,2.31486,0.00146071,0.00146071,0.00146071
127,1239.31,0.76727,0.56385,1.09272,0.47327,0.2991,0.28747,0.13435,2.32531,2.77098,2.60475,0.00145906,0.00145906,0.00145906
128,1249.53,0.73384,0.54776,1.04045,0.48927,0.30073,0.30745,0.14666,2.2585,2.66797,2.47872,0.00145741,0.00145741,0.00145741
129,1259.63,0.75515,0.56196,1.07118,0.47421,0.33434,0.33647,0.16461,2.23699,2.39815,2.35831,0.00145576,0.00145576,0.00145576
130,1268.07,0.73969,0.57347,1.06155,0.43674,0.40817,0.35848,0.17316,2.16477,2.41038,2.31137,0.00145411,0.00145411,0.00145411
131,1278.16,0.71935,0.5438,1.0346,0.44005,0.3759,0.35051,0.16825,2.20836,2.48097,2.39414,0.00145246,0.00145246,0.00145246
132,1288.08,0.73979,0.56393,1.0621,0.48005,0.33909,0.33944,0.16276,2.189,2.44493,2.32,0.00145081,0.00145081,0.00145081
133,1297.11,0.75458,0.55922,1.05558,0.47476,0.29512,0.30268,0.14086,2.26934,2.46416,2.3247,0.00144916,0.00144916,0.00144916
134,1307.22,0.76254,0.56442,1.06659,0.49861,0.32787,0.34138,0.16237,2.28083,2.36454,2.423,0.00144751,0.00144751,0.00144751
135,1317.71,0.761,0.58096,1.06712,0.42121,0.32461,0.28842,0.13577,2.33737,2.59545,2.59084,0.00144586,0.00144586,0.00144586
136,1326.54,0.73772,0.5659,1.0571,0.42524,0.36697,0.31178,0.14012,2.37181,2.52412,2.56717,0.00144421,0.00144421,0.00144421
137,1337.01,0.72529,0.53655,1.04736,0.44435,0.4172,0.35613,0.17371,2.24086,2.38276,2.43425,0.00144256,0.00144256,0.00144256
138,1347.35,0.75013,0.55664,1.05563,0.45254,0.34885,0.31138,0.15295,2.24295,2.38332,2.40635,0.0014409,0.0014409,0.0014409
139,1356.4,0.71943,0.52994,1.03532,0.46211,0.37917,0.35544,0.17848,2.18179,2.47632,2.31633,0.00143925,0.00143925,0.00143925
140,1365.96,0.73683,0.54341,1.05331,0.43755,0.36924,0.34266,0.17722,2.17667,2.35361,2.29118,0.0014376,0.0014376,0.0014376
141,1376.18,0.72133,0.5384,1.04088,0.46622,0.39389,0.37281,0.18718,2.16662,2.26653,2.27441,0.00143595,0.00143595,0.00143595
142,1386.03,0.73076,0.54272,1.04069,0.45561,0.38062,0.34868,0.16701,2.21843,2.29609,2.37426,0.0014343,0.0014343,0.0014343
143,1395.08,0.71985,0.53352,1.0471,0.45885,0.40823,0.35969,0.17354,2.18276,2.27057,2.29888,0.00143265,0.00143265,0.00143265
144,1406.79,0.69576,0.51345,1.0285,0.46062,0.34999,0.29858,0.14131,2.29642,2.57719,2.49502,0.001431,0.001431,0.001431
145,1417.1,0.72707,0.55267,1.0519,0.43873,0.37831,0.32327,0.15252,2.2507,2.51801,2.41003,0.00142935,0.00142935,0.00142935
146,1425.74,0.73377,0.5427,1.03891,0.4848,0.3549,0.34376,0.16379,2.21007,2.42783,2.40051,0.0014277,0.0014277,0.0014277
147,1435.81,0.73523,0.55594,1.04054,0.50862,0.38224,0.38096,0.18832,2.15693,2.28797,2.2805,0.00142605,0.00142605,0.00142605
148,1446.12,0.7325,0.52747,1.0338,0.48821,0.35623,0.33672,0.174,2.15931,2.39334,2.3062,0.0014244,0.0014244,0.0014244
149,1454.93,0.70188,0.53183,1.03079,0.4632,0.36866,0.36303,0.18195,2.11159,2.26417,2.23725,0.00142275,0.00142275,0.00142275
150,1465.17,0.70147,0.50532,1.0164,0.46555,0.40721,0.37442,0.18754,2.11972,2.24623,2.24226,0.0014211,0.0014211,0.0014211
151,1475.69,0.72416,0.52141,1.04325,0.49038,0.39153,0.36197,0.18827,2.15227,2.34757,2.31312,0.00141945,0.00141945,0.00141945
152,1485.11,0.71477,0.51795,1.01539,0.45805,0.37392,0.33619,0.16157,2.21478,2.4632,2.43497,0.0014178,0.0014178,0.0014178
153,1494.96,0.6962,0.52527,1.02,0.47232,0.42251,0.36095,0.171,2.19744,2.21694,2.40232,0.00141615,0.00141615,0.00141615
154,1505.14,0.6786,0.49705,1.02413,0.46912,0.40065,0.36839,0.17211,2.30073,2.29265,2.475,0.0014145,0.0014145,0.0014145
155,1514.94,0.70275,0.52909,1.0449,0.41352,0.37439,0.30486,0.15038,2.27827,2.49114,2.41444,0.00141285,0.00141285,0.00141285
156,1524.19,0.71553,0.52382,1.0427,0.44011,0.35995,0.33514,0.16222,2.30391,2.54217,2.52009,0.0014112,0.0014112,0.0014112
157,1534.49,0.75473,0.56198,1.05409,0.47618,0.38969,0.34133,0.16589,2.25629,2.37882,2.43021,0.00140955,0.00140955,0.00140955
