epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,565.687,0.84292,0.67562,1.10331,0.4627,0.39311,0.38445,0.19342,2.08107,2.24915,2.12781,0.000726312,0.000726312,0.000726312
59,577.637,0.82455,0.68088,1.10739,0.5159,0.34722,0.38744,0.19998,2.05708,2.21476,2.05414,0.000709809,0.000709809,0.000709809
60,587.137,0.78025,0.63066,1.06902,0.51247,0.39153,0.3959,0.20218,2.03118,2.14665,2.12878,0.000693305,0.000693305,0.000693305
61,596.515,0.8107,0.65842,1.10267,0.4863,0.37237,0.38861,0.18963,2.03712,2.2384,2.15091,0.000676802,0.000676802,0.000676802
62,606.669,0.79643,0.65827,1.10722,0.49113,0.36543,0.37818,0.19356,2.04503,2.16777,2.17853,0.000660299,0.000660299,0.000660299
63,616.534,0.77614,0.61212,1.06929,0.49841,0.36643,0.36354,0.18812,2.05592,2.22975,2.18107,0.000643795,0.000643795,0.000643795
64,625.638,0.7709,0.62911,1.07117,0.48284,0.39784,0.38601,0.20507,2.05909,2.20641,2.1505,0.000627292,0.000627292,0.000627292
65,635.705,0.76057,0.5953,1.06597,0.4742,0.37011,0.36647,0.1932,2.02529,2.23564,2.11882,0.000610789,0.000610789,0.000610789
66,645.278,0.76793,0.63155,1.08707,0.53251,0.34451,0.3678,0.18054,2.04783,2.24368,2.16163,0.000594286,0.000594286,0.000594286
67,653.836,0.76829,0.61387,1.07352,0.49456,0.38389,0.37038,0.1849,2.11242,2.29061,2.26557,0.000577782,0.000577782,0.000577782
68,663.867,0.78344,0.60599,1.07998,0.50883,0.38299,0.37497,0.18682,2.08696,2.25058,2.21998,0.000561279,0.000561279,0.000561279
69,673.406,0.76005,0.58902,1.07954,0.53946,0.35732,0.37097,0.18961,2.07544,2.37711,2.22854,0.000544776,0.000544776,0.000544776
70,682.071,0.74751,0.57362,1.06204,0.57315,0.36592,0.4003,0.20771,2.02808,2.25931,2.18264,0.000528272,0.000528272,0.000528272
71,692.119,0.76229,0.60477,1.06733,0.5167,0.36477,0.37994,0.19673,2.06586,2.2266,2.19389,0.000511769,0.000511769,0.000511769
72,701.745,0.7788,0.60853,1.08294,0.48533,0.39829,0.38595,0.1945,2.05144,2.27846,2.16052,0.000495266,0.000495266,0.000495266
73,710.472,0.71689,0.53174,1.03215,0.51798,0.39606,0.40384,0.21238,2.00623,2.12284,2.12546,0.000478762,0.000478762,0.000478762
74,720.705,0.71579,0.56098,1.05212,0.59482,0.36429,0.40326,0.21254,2.01087,2.20209,2.1387,0.000462259,0.000462259,0.000462259
75,730.837,0.74131,0.56996,1.06511,0.52615,0.39125,0.40561,0.20822,2.0289,2.30314,2.22477,0.000445756,0.000445756,0.000445756
76,739.462,0.75647,0.57288,1.06406,0.54079,0.3817,0.39709,0.20925,1.98605,2.19192,2.15067,0.000429253,0.000429253,0.000429253
77,749.45,0.71996,0.5676,1.04717,0.47941,0.41034,0.38096,0.19852,2.03656,2.29712,2.17218,0.000412749,0.000412749,0.000412749
78,759.566,0.72444,0.54372,1.06375,0.50227,0.38087,0.38194,0.20039,2.01404,2.28298,2.13272,0.000396246,0.000396246,0.000396246
79,768.285,0.72037,0.55121,1.03702,0.55964,0.37796,0.40323,0.21031,2.04815,2.20514,2.14555,0.000379743,0.000379743,0.000379743
80,778.368,0.73813,0.55244,1.05065,0.51462,0.41455,0.40357,0.2081,2.02422,2.17691,2.13607,0.000363239,0.000363239,0.000363239
81,788.662,0.69244,0.52496,1.03567,0.56626,0.3851,0.4051,0.20838,2.03803,2.18996,2.12774,0.000346736,0.000346736,0.000346736
82,797.212,0.71119,0.54646,1.04883,0.55606,0.39963,0.40337,0.20921,2.03519,2.17634,2.1244,0.000330233,0.000330233,0.000330233
83,807.179,0.69093,0.51996,1.02993,0.55473,0.39794,0.40831,0.2125,2.02812,2.18268,2.14295,0.000313729,0.000313729,0.000313729
84,817.341,0.70315,0.52598,1.03322,0.49417,0.4344,0.4194,0.22239,2.00954,2.11638,2.13472,0.000297226,0.000297226,0.000297226
85,826.013,0.68105,0.51308,1.02269,0.48142,0.44723,0.42059,0.22106,2.03039,2.09764,2.14676,0.000280723,0.000280723,0.000280723
86,836.037,0.66193,0.49766,1.01978,0.49017,0.4234,0.38944,0.20056,2.05155,2.24855,2.18451,0.00026422,0.00026422,0.00026422
87,846.191,0.66619,0.50113,1.02775,0.48301,0.39281,0.37403,0.19131,2.03254,2.37413,2.18359,0.000247716,0.000247716,0.000247716
88,854.611,0.67862,0.52843,1.02557,0.48776,0.41276,0.38309,0.19938,2.05054,2.29295,2.21581,0.000231213,0.000231213,0.000231213
89,865.043,0.63597,0.49314,1.02903,0.53959,0.40031,0.38158,0.19587,2.05485,2.24872,2.21205,0.00021471,0.00021471,0.00021471
90,876.609,0.64373,0.47259,1.00912,0.50115,0.40645,0.37559,0.1976,2.04932,2.26743,2.1819,0.000198206,0.000198206,0.000198206
91,889.008,0.63486,0.50965,0.98271,0.50877,0.38425,0.368,0.19421,2.0497,2.3529,2.21235,0.000181703,0.000181703,0.000181703
92,897.48,0.61585,0.47202,0.9895,0.48749,0.39832,0.37296,0.19379,2.06634,2.29956,2.2881,0.0001652,0.0001652,0.0001652
93,907.33,0.59422,0.42199,0.97136,0.50701,0.4104,0.37905,0.19789,2.0355,2.22226,2.22333,0.000148696,0.000148696,0.000148696
94,917.247,0.60549,0.43388,0.96947,0.51624,0.40199,0.38459,0.20302,2.01892,2.21,2.20863,0.000132193,0.000132193,0.000132193
95,925.469,0.56256,0.41086,0.9665,0.52881,0.38429,0.38735,0.20439,2.0227,2.21734,2.20521,0.00011569,0.00011569,0.00011569
96,935.245,0.55304,0.40662,0.94759,0.50747,0.40307,0.39272,0.20635,2.01241,2.2123,2.17461,9.91865e-05,9.91865e-05,9.91865e-05
97,945.127,0.56635,0.3978,0.95639,0.49932,0.41403,0.39911,0.21129,2.00472,2.19106,2.15494,8.26832e-05,8.26832e-05,8.26832e-05
98,953.491,0.55063,0.38541,0.94116,0.51682,0.396,0.40096,0.21162,2.01094,2.20872,2.15727,6.61799e-05,6.61799e-05,6.61799e-05
99,963.368,0.54594,0.38964,0.95923,0.54389,0.39553,0.40563,0.2158,2.02048,2.18115,2.16789,4.96766e-05,4.96766e-05,4.96766e-05
100,973.197,0.55923,0.39102,0.97676,0.53403,0.40428,0.40698,0.2155,2.02297,2.18628,2.16566,3.31733e-05,3.31733e-05,3.31733e-05
