epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1102.86,0.71487,0.52468,1.03105,0.47127,0.37529,0.34255,0.17579,2.14615,2.45195,2.32438,0.000934253,0.000934253,0.000934253
113,1111.74,0.73579,0.54334,1.04564,0.42236,0.30654,0.27338,0.12781,2.28485,2.87877,2.49677,0.000927652,0.000927652,0.000927652
114,1121.75,0.73911,0.54276,1.05229,0.45196,0.29933,0.27904,0.13765,2.27561,2.95802,2.50349,0.000921051,0.000921051,0.000921051
115,1132.02,0.74865,0.56471,1.05186,0.49326,0.35878,0.33068,0.16702,2.15386,2.48262,2.29054,0.00091445,0.00091445,0.00091445
116,1141.03,0.723,0.55978,1.05141,0.48403,0.31923,0.2996,0.14471,2.20099,2.49206,2.40093,0.000907848,0.000907848,0.000907848
117,1150.94,0.6893,0.51385,1.02922,0.48492,0.32405,0.32111,0.15454,2.21347,2.56029,2.44177,0.000901247,0.000901247,0.000901247
118,1161.22,0.7105,0.52488,1.05643,0.48541,0.34553,0.33369,0.16152,2.24102,2.43279,2.49053,0.000894646,0.000894646,0.000894646
119,1171.13,0.71667,0.52681,1.03308,0.48679,0.34514,0.33357,0.1649,2.20515,2.43,2.37749,0.000888044,0.000888044,0.000888044
120,1179.82,0.69505,0.50706,1.03458,0.51339,0.32004,0.33048,0.16317,2.23637,2.58881,2.44134,0.000881443,0.000881443,0.000881443
121,1190.12,0.71626,0.53594,1.04774,0.50044,0.35248,0.35402,0.17512,2.2192,2.45327,2.38809,0.000874842,0.000874842,0.000874842
122,1200.34,0.68789,0.50479,1.01986,0.44248,0.35624,0.32702,0.16701,2.14078,2.36764,2.28315,0.00086824,0.00086824,0.00086824
123,1209.05,0.65887,0.49016,1.02007,0.4774,0.37181,0.37322,0.18717,2.14064,2.35559,2.28129,0.000861639,0.000861639,0.000861639
124,1219.09,0.68426,0.51412,1.02904,0.46025,0.39414,0.3708,0.18089,2.10748,2.24309,2.21455,0.000855038,0.000855038,0.000855038
125,1229.32,0.64535,0.49245,1.00942,0.43845,0.38032,0.36741,0.18451,2.17553,2.33766,2.35516,0.000848436,0.000848436,0.000848436
126,1238.55,0.64907,0.48594,1.01699,0.52185,0.33407,0.35369,0.18037,2.20801,2.45893,2.38261,0.000841835,0.000841835,0.000841835
127,1249.74,0.6972,0.52047,1.04934,0.54555,0.33973,0.35936,0.1825,2.19535,2.27873,2.36608,0.000835234,0.000835234,0.000835234
128,1260.06,0.66774,0.4885,1.01168,0.57053,0.32115,0.34469,0.17438,2.21499,2.37694,2.34055,0.000828632,0.000828632,0.000828632
129,1270.36,0.66159,0.49876,1.026,0.4417,0.39007,0.35255,0.17627,2.18135,2.39501,2.31935,0.000822031,0.000822031,0.000822031
130,1279.02,0.67839,0.50344,1.03045,0.48035,0.36381,0.35579,0.18308,2.14497,2.36098,2.29608,0.00081543,0.00081543,0.00081543
131,1289.27,0.66253,0.48817,1.00509,0.43981,0.39268,0.3483,0.17976,2.177,2.41809,2.3565,0.000808828,0.000808828,0.000808828
132,1299.61,0.66873,0.50906,1.02655,0.46466,0.36058,0.33943,0.17003,2.1923,2.67825,2.4124,0.000802227,0.000802227,0.000802227
133,1309.21,0.6837,0.497,1.02292,0.44176,0.37567,0.3245,0.15384,2.14007,2.5463,2.37141,0.000795626,0.000795626,0.000795626
134,1318.93,0.68353,0.50691,1.02942,0.53105,0.36083,0.35219,0.16828,2.11814,2.36652,2.25331,0.000789024,0.000789024,0.000789024
135,1329.11,0.68355,0.49356,1.02246,0.50649,0.34164,0.36623,0.19148,2.16034,2.44417,2.30299,0.000782423,0.000782423,0.000782423
136,1339.43,0.66426,0.49089,1.01498,0.48298,0.36749,0.3703,0.18893,2.19536,2.31955,2.34076,0.000775822,0.000775822,0.000775822
137,1348.33,0.63985,0.4732,1.00699,0.47555,0.37433,0.35236,0.1764,2.1934,2.36405,2.36558,0.00076922,0.00076922,0.00076922
138,1358.41,0.65903,0.48672,1.01547,0.52662,0.33311,0.35227,0.17912,2.17915,2.33524,2.31606,0.000762619,0.000762619,0.000762619
139,1368.71,0.65097,0.47395,1.00999,0.42993,0.37675,0.33153,0.17203,2.18726,2.49512,2.39664,0.000756018,0.000756018,0.000756018
140,1377.85,0.66133,0.48406,1.01795,0.48222,0.36536,0.34586,0.17424,2.19786,2.47719,2.41096,0.000749417,0.000749417,0.000749417
